application_name,volume_mn,value_cr,month
Flipkart UPI #,2.7,155.64,01-07-2025
Jammu and Kashmir Bank Apps,2.62,343.24,01-07-2025
Shri Ram One,2.38,155.72,01-07-2025
Bank of Baroda Apps,2.01,529.28,01-07-2025
Ind Money #,1.86,730.24,01-07-2025
Omni Card,1.73,98.15,01-07-2025
IndusInd Bank Apps,1.26,178.71,01-07-2025
Indian Bank Apps,1.11,255.91,01-07-2025
HSBC Bank Apps,1.09,135.52,01-07-2025
Suryoday Bank Apps,1.06,151.82,01-07-2025
Digikhata,1.01,320.5,01-07-2025
Standard Chartered Bank Apps,0.99,150.81,01-07-2025
Bharat Pe #,0.92,62.45,01-07-2025
DBS Digibank Apps,0.88,222.49,01-07-2025
Central Bank of India Apps,0.86,186.24,01-07-2025
South Indian Bank Apps,0.83,240.25,01-07-2025
Union Bank Apps,0.79,259.13,01-07-2025
One Card #,0.78,918.16,01-07-2025
Money View #,0.71,64.31,01-07-2025
AU Small Finance Bank Apps,0.65,201.78,01-07-2025
Kredit Pe #,0.6,54.67,01-07-2025
ESAF Small Finance Bank Apps,0.59,64.58,01-07-2025
UCO Bank Apps,0.57,140.44,01-07-2025
Fino Payments Bank Apps,0.55,55.18,01-07-2025
Salary Se #,0.5,22.32,01-07-2025
Tata Pay #,0.49,144.2,01-07-2025
Aditya Birla Capital Digital,0.39,23.14,01-07-2025
Bank of India Apps,0.31,95.7,01-07-2025
Indian Overseas Bank Apps,0.29,69.35,01-07-2025
Karnataka Bank Apps,0.26,61.44,01-07-2025
Spice Money,0.26,21.44,01-07-2025
Rapipay,0.22,23.19,01-07-2025
Dhani,0.2,8.73,01-07-2025
IDBI Bank Apps,0.16,60.93,01-07-2025
True Balance,0.13,4.22,01-07-2025
Ultracash #,0.11,7.7,01-07-2025
Karur Vysya Bank Apps,0.11,38.44,01-07-2025
Obopay,0.11,15.31,01-07-2025
Tamilnad Mercantile Bank Apps,0.1,33.72,01-07-2025
Niyo Global #,0.08,20.06,01-07-2025
City Union Bank Apps,0.07,27.83,01-07-2025
Unity Small Finance Bank Apps,0.07,16.97,01-07-2025
Freo #,0.04,2.57,01-07-2025
Payworld,0.04,3.27,01-07-2025
Utkarsh Small Finance Bank Apps,0.02,3.19,01-07-2025
Bank of Maharashtra Apps,0.02,8.09,01-07-2025
Jar #,0.02,0.5,01-07-2025
Punjab Sind Bank Apps,0.02,7.28,01-07-2025
Others,2.31,244.14,01-07-2025
PhonePe #,6716.09,1009064.99,01-06-2024
Google Pay #,5103.99,707241.27,01-06-2024
Paytm,1104.89,120840.45,01-06-2024
Cred #,138.42,45720.01,01-06-2024
Axis Bank Apps,75.07,6614.04,01-06-2024
Amazon Pay #,67.07,7377.3,01-06-2024
ICICI Bank Apps,51.65,29996.18,01-06-2024
FamApp by Trio #,50.78,641.36,01-06-2024
Kotak Mahindra Bank Apps,42.65,6073.08,01-06-2024
WhatsApp #,37.18,2923.79,01-06-2024
Navi #,35.72,1769.66,01-06-2024
HDFC Bank Apps,34.6,8167.3,01-06-2024
BHIM,22.72,7965.69,01-06-2024
Yes Bank Apps,22.55,9317.05,01-06-2024
Airtel Payments Bank Apps,15.76,1192.07,01-06-2024
Mobikwik #,11.59,2564.79,01-06-2024
Groww #,11.26,9094.72,01-06-2024
Bajaj Finserv #,8.23,1852.43,01-06-2024
Slice #,7.86,634.47,01-06-2024
IDFC Bank Apps,7.33,1654.91,01-06-2024
State Bank of India Apps,7.22,2426.08,01-06-2024
Samsung Pay #,6.38,542.12,01-06-2024
India Post Payments Bank Apps,6.01,732.1,01-06-2024
Flipkart UPI #,5.97,337.24,01-06-2024
Federal Bank Apps,5.67,790.57,01-06-2024
Jupiter Money #,5.63,750.68,01-06-2024
Canara Bank Apps,2.88,793.85,01-06-2024
Jio Payments Bank Apps,2.33,186.62,01-06-2024
Deutsche Bank Apps,2.25,334.12,01-06-2024
Timepay #,1.82,20.2,01-06-2024
Punjab National Bank Apps,1.8,472.48,01-06-2024
RBL Bank Apps,1.75,785.07,01-06-2024
Indian Bank Apps,1.73,330.47,01-06-2024
OmniCard #,1.28,53.41,01-06-2024
Union Bank Apps,1.06,461.02,01-06-2024
Bank of Baroda Apps,1.03,450.62,01-06-2024
Central Bank of India Apps,0.83,188.63,01-06-2024
AU Small Finance Bank Apps,0.76,227.63,01-06-2024
Jammu and Kashmir Bank Apps,0.75,97.58,01-06-2024
DBS Digibank Apps,0.5,198.68,01-06-2024
South Indian Bank Apps,0.49,144.78,01-06-2024
IndusInd Bank Apps,0.43,117.86,01-06-2024
Fino Payments bank Apps,0.41,55.79,01-06-2024
HSBC Bank Apps,0.4,148.09,01-06-2024
Shriram One #,0.28,37.04,01-06-2024
UCO Bank Apps,0.22,67.4,01-06-2024
Digikhata #,0.19,63.31,01-06-2024
Karnataka Bank Apps,0.18,33.55,01-06-2024
Standard Chartered Bank Apps,0.17,117.35,01-06-2024
TataNeu #,0.16,23.31,01-06-2024
Kiwi #,0.15,31.43,01-06-2024
Suryoday,0.14,0.02,01-06-2024
Indian Overseas Bank Apps,0.13,37.62,01-06-2024
super.money #,0.13,5.04,01-06-2024
Dhani,0.11,13.84,01-06-2024
Bank of India Apps,0.1,38.05,01-06-2024
Ultracash #,0.09,6.51,01-06-2024
Tamilnad Mercantile Bank Apps,0.08,26.21,01-06-2024
City Union Bank Apps,0.08,28.66,01-06-2024
POPClub #,0.07,4.87,01-06-2024
Citi Bank Apps,0.07,70.51,01-06-2024
Aditya Birla Capital Digital #,0.07,3.45,01-06-2024
IDBI Bank Apps,0.07,27.06,01-06-2024
NSDL Payments Bank Apps,0.06,10.09,01-06-2024
Bank of Maharashtra Apps,0.05,11.11,01-06-2024
Karur Vysya Bank Apps,0.05,18.73,01-06-2024
Niyo Global #,0.05,24.78,01-06-2024
Equitas Small Finance Bank Apps,0.04,26.25,01-06-2024
Punjab Sind Bank Apps,0.03,12.38,01-06-2024
Other Apps,1.54,184.11,01-06-2024
Navi #,406.01,21814.51,01-06-2025
super.money #,218.96,7716.48,01-06-2025
Cred #,138.32,51384.11,01-06-2025
Axis Bank Apps,126.27,9388.51,01-06-2025
FamApp by Trio #,112.75,1439.64,01-06-2025
Amazon Pay #,93.25,9942.48,01-06-2025
BHIM,73.07,11725.85,01-06-2025
Whatsapp #,67.48,4989.34,01-06-2025
HDFC Bank Apps,67.46,14297.8,01-06-2025
ICICI Bank Apps,61.82,15983.92,01-06-2025
Kotak Mahindra Bank Apps,60.36,7735.27,01-06-2025
Yes Bank Apps,52.55,8917.32,01-06-2025
Mobikwik #,34.43,4600.71,01-06-2025
POP UPI,32.33,834.39,01-06-2025
Airtel Payments Bank Apps,19.74,1368.2,01-06-2025
Slice Small Finance Bank Apps,17.76,2317.46,01-06-2025
IDFC Bank Apps,17.44,2481.31,01-06-2025
India Post Payments Bank Apps,16.65,1730.46,01-06-2025
State Bank of India Apps,13.35,3591.53,01-06-2025
Groww #,12.46,8801.55,01-06-2025
Bajaj Finserv,11.4,2351.65,01-06-2025
RBL Bank Apps,10.7,1587.67,01-06-2025
Samsung Pay #,8.81,624.29,01-06-2025
Jupiter Money #,5.99,905.62,01-06-2025
Federal Bank Apps,5.22,1006.22,01-06-2025
Jio Payments Bank Apps,4.26,308.69,01-06-2025
Deutsche Bank Apps,4.02,723.95,01-06-2025
Timepay #,3.96,50.49,01-06-2025
Canara Bank Apps,3.49,911.93,01-06-2025
Punjab National Bank Apps,3.46,917.08,01-06-2025
Kiwi #,3.43,385.72,01-06-2025
Fi Money #,2.75,375.21,01-06-2025
Flipkart UPI #,2.52,144.64,01-06-2025
Jammu and Kashmir Bank Apps,2.41,316.86,01-06-2025
Shri Ram One #,2.16,144.64,01-06-2025
Bank of Baroda Apps,1.77,497.24,01-06-2025
Standard Chartered Bank Apps,1.74,165.08,01-06-2025
Omni Card,1.62,93.83,01-06-2025
Ind Money #,1.41,558.23,01-06-2025
IndusInd Bank Apps,1.31,173.24,01-06-2025
NSDL Payments Bank Apps,1.19,48.41,01-06-2025
HSBC Bank Apps,1.02,122.16,01-06-2025
Central Bank of India Apps,0.93,186.91,01-06-2025
Suryoday Bank Apps,0.9,121.41,01-06-2025
Digikhata,0.88,287.21,01-06-2025
DBS Digibank Apps,0.87,222.97,01-06-2025
Indian Bank Apps,0.87,203.68,01-06-2025
Union Bank Apps,0.74,236.2,01-06-2025
South Indian Bank Apps,0.73,208.33,01-06-2025
One Card #,0.73,834.56,01-06-2025
AU Small Finance Bank Apps,0.62,184.72,01-06-2025
ESAF Small Finance Bank Apps,0.57,58,01-06-2025
Fino Payments Bank Apps,0.54,53.51,01-06-2025
Bharat Pe #,0.54,46.14,01-06-2025
UCO Bank Apps,0.51,125.51,01-06-2025
Tata Pay #,0.47,134.16,01-06-2025
Salary Se #,0.46,21.59,01-06-2025
Kredit Pe #,0.43,42,01-06-2025
Aditya Birla Capital Digital #,0.37,42.7,01-06-2025
Money View #,0.34,38.22,01-06-2025
Indian Overseas Bank Apps,0.28,67.04,01-06-2025
Bank of India Apps,0.28,82.52,01-06-2025
Karnataka Bank Apps,0.25,57.35,01-06-2025
Spice Money,0.2,14.16,01-06-2025
Rapipay,0.17,19.48,01-06-2025
Dhani,0.17,7.65,01-06-2025
IDBI Bank Apps,0.14,49.11,01-06-2025
Ultracash #,0.1,7.45,01-06-2025
Karur Vysya Bank Apps,0.1,35.57,01-06-2025
Tamilnad Mercantile Bank Apps,0.09,32.85,01-06-2025
Obopay,0.08,11.38,01-06-2025
City Union Bank Apps,0.08,29.99,01-06-2025
True Balance,0.07,2.2,01-06-2025
Unity Small Finance Bank Apps,0.07,16.01,01-06-2025
Niyo Global #,0.06,14.82,01-06-2025
Freo #,0.03,2.23,01-06-2025
Payworld,0.03,1.96,01-06-2025
Bank of Maharashtra Apps,0.02,8.31,01-06-2025
Others,2.06,243.61,01-06-2025
Samsung Pay #,11,743.38,01-03-2024
Jio Payments Bank Apps,7.77,509.61,01-03-2024
POP UPI #,7.38,571.1,01-03-2024
Jupiter Money #,5.7,944.9,01-03-2024
Deutsche Bank Apps,5.08,875.42,01-03-2024
Money View #,3.82,244.73,01-03-2024
KreditBee #,3.68,179.15,01-03-2024
Others,3.55,334.75,01-03-2024
Jammu and Kashmir Bank Apps,3.08,489.39,01-03-2024
Kiwi #,2.79,500.02,01-03-2024
Suryoday Bank Apps,2.78,13.52,01-03-2024
Flipkart UPI #,2.69,124.89,01-03-2024
Bharat Pe #,2.62,247.83,01-03-2024
Omni Card,1.94,101.77,01-03-2024
Fi Money #,1.92,330.74,01-03-2024
Indian Bank Apps,1.69,511.01,01-03-2024
Aditya Birla Capital Digital #,1.66,28.46,01-03-2024
Bank of Baroda Apps,1.65,510.66,01-03-2024
Punjab National Bank Apps,1.61,442.44,01-03-2024
HSBC Bank Apps,1.55,186.24,01-03-2024
Digikhata,1.49,539.13,01-03-2024
Timepay #,1.34,25.98,01-03-2024
IndusInd Bank Apps,1.21,208.26,01-03-2024
Freo #,1.21,113.58,01-03-2024
Union Bank Apps,1,302.43,01-03-2024
AU Small Finance Bank Apps,0.97,316.74,01-03-2024
South Indian Bank Apps,0.91,303.5,01-03-2024
Jar #,0.82,24.98,01-03-2024
Kredit Pe #,0.76,65.4,01-03-2024
Fino Payments Bank Apps,0.71,65.29,01-03-2024
UCO Bank Apps,0.63,179.36,01-03-2024
One Card #,0.61,764.55,01-03-2024
Salary Se #,0.6,53.47,01-03-2024
DBS Digibank Apps,0.58,220.76,01-03-2024
Shri Ram One #,0.55,73.76,01-03-2024
Rapipay,0.54,33.28,01-03-2024
Standard Chartered Bank Apps,0.51,141.43,01-03-2024
Central Bank of India Apps,0.5,186.01,01-03-2024
Spice Money,0.45,39.06,01-03-2024
Saathi by PayNearBy #,0.33,38.42,01-03-2024
Bank of India Apps,0.33,118.47,01-03-2024
Tata Pay #,0.31,90.6,01-03-2024
NSDL Payments Bank Apps,0.27,210.13,01-03-2024
IDBI Bank Apps,0.23,114.74,01-03-2024
Karnataka Bank Apps,0.22,60.16,01-03-2024
Obopay,0.22,35.03,01-03-2024
Dhani,0.19,8.95,01-03-2024
True Balance,0.18,6.33,01-03-2024
Karur Vysya Bank Apps,0.14,51.74,01-03-2024
TwidPay #,0.14,14.32,01-03-2024
Payworld,0.11,10.23,01-03-2024
Tamilnad Mercantile Bank Apps,0.11,45.11,01-03-2024
City Union Bank Apps,0.11,33.64,01-03-2024
ESAF Small Finance Bank Apps,0.1,11.52,01-03-2024
Indian Overseas Bank Apps,0.1,33.63,01-03-2024
Cheq,0.08,7.18,01-03-2024
Bank of Maharashtra Apps,0.08,30.38,01-03-2024
Equitas Small Finance Bank Apps,0.07,19.58,01-03-2024
Curie Money #,0.06,3.89,01-03-2024
Fave,0.06,10.78,01-03-2024
Unity Small Finance Bank Apps,0.06,15.04,01-03-2024
Ultracash #,0.05,3.97,01-03-2024
LXME #,0.05,4.01,01-03-2024
ZET #,0.03,2.53,01-03-2024
Punjab Sind Bank Apps,0.03,13.83,01-03-2024
Phone Pe #,8647.78,1257075.54,01-03-2025
Google Pay #,6596.76,866568.18,01-03-2025
Paytm #,1221.12,132912.04,01-03-2025
Navi #,324.42,18018.65,01-03-2025
super.money #,171.75,5933.08,01-03-2025
Axis Bank Apps,145.78,9966.53,01-03-2025
Cred #,144.82,55091.22,01-03-2025
Amazon Pay #,111.06,10606.66,01-03-2025
FamApp by Trio #,89.94,1099.28,01-03-2025
ICICI Bank Apps,67.63,16696.94,01-03-2025
Whatsapp #,66.23,4958.25,01-03-2025
HDFC Bank Apps,60.94,11789.9,01-03-2025
Kotak Mahindra Bank Apps,57.05,7737.14,01-03-2025
BHIM,46.13,9540.09,01-03-2025
Yes Bank Apps,44.03,9388.85,01-03-2025
Mobikwik #,29.8,4414,01-03-2025
Airtel Payments Bank Apps,21.63,1487.89,01-03-2025
Slice #,17.41,2069.31,01-03-2025
India Post Payments Bank Apps,16.58,1941.73,01-03-2025
IDFC Bank Apps,14.53,2486.08,01-03-2025
State Bank of India Apps,12.61,3418.04,01-03-2025
RBL Bank Apps,12.59,1741.69,01-03-2025
Groww #,11.63,7009.63,01-03-2025
Bajaj Finserv #,9.66,1892.01,01-03-2025
Samsung Pay #,8.95,642.73,01-03-2025
POP UPI,8.53,449.95,01-03-2025
Jupiter Money #,6.49,958.52,01-03-2025
Federal Bank Apps,4.75,869.77,01-03-2025
Flipkart UPI #,4.72,257.82,01-03-2025
Jio Payments Bank Apps,4.08,318.2,01-03-2025
Canara Bank Apps,3.75,975.91,01-03-2025
Deutsche Bank Apps,3.62,532.05,01-03-2025
Punjab National Bank Apps,3.38,898.95,01-03-2025
Fi Money #,3.25,434.16,01-03-2025
Timepay #,3.07,37.66,01-03-2025
Bank of Baroda Apps,2.11,588.95,01-03-2025
IndusInd Bank Apps,2.04,346,01-03-2025
Shri Ram One #,1.75,116.77,01-03-2025
Jammu and Kashmir Bank Apps,1.75,261.45,01-03-2025
Omni Card,1.59,86.51,01-03-2025
Central Bank of India Apps,1.57,268,01-03-2025
Kiwi #,1.41,213.93,01-03-2025
Suryoday Bank Apps,1.26,178.92,01-03-2025
Bharat Pe #,1.07,68.67,01-03-2025
DBS Digibank Apps,1.02,230.21,01-03-2025
HSBC Bank Apps,1,224.84,01-03-2025
Ind Money #,0.95,436.8,01-03-2025
Aditya Birla Capital Digital #,0.88,39.97,01-03-2025
One Card #,0.82,973,01-03-2025
Digikhata,0.8,258.58,01-03-2025
Union Bank Apps,0.72,241.09,01-03-2025
South Indian Bank Apps,0.68,204.88,01-03-2025
Indian Bank Apps,0.64,176.18,01-03-2025
AU Small Finance Bank Apps,0.59,174.06,01-03-2025
Fino Payments Bank Apps,0.58,63.84,01-03-2025
Standard Chartered Bank Apps,0.5,146.46,01-03-2025
UCO Bank Apps,0.44,110.34,01-03-2025
Tata Neu #,0.38,111.95,01-03-2025
ESAF Small Finance Bank Apps,0.38,40.78,01-03-2025
Salary Se #,0.36,18.23,01-03-2025
Bank of India Apps,0.27,86.1,01-03-2025
Indian Overseas Bank Apps,0.26,60.29,01-03-2025
Karnataka Bank Apps,0.25,57.72,01-03-2025
Kredit.Pe #,0.19,26.43,01-03-2025
Money View #,0.18,18.99,01-03-2025
Dhani,0.17,8.44,01-03-2025
Spice Money,0.16,12.87,01-03-2025
Rapipay,0.14,17.08,01-03-2025
IDBI Bank Apps,0.13,45.74,01-03-2025
Ultracash #,0.11,8.67,01-03-2025
Niyo Global #,0.11,54.39,01-03-2025
True Balance,0.1,3.41,01-03-2025
Karur Vysya Bank Apps,0.09,33.66,01-03-2025
City Union Bank Apps,0.09,31.31,01-03-2025
Tamilnad Mercantile Bank Apps,0.08,29.48,01-03-2025
Genwise #,0.07,28.34,01-03-2025
Freo #,0.05,3.87,01-03-2025
NSDL Payments Bank Apps,0.04,5.54,01-03-2025
Cheq,0.03,2.43,01-03-2025
Bank of Maharashtra Apps,0.03,9.11,01-03-2025
Punjab Sind Bank Apps,0.03,9.19,01-03-2025
Others,2.26,254.93,01-03-2025
Samsung Pay #,11,743.38,01-03-2026
Jio Payments Bank Apps,7.77,509.61,01-03-2026
POP UPI #,7.38,571.1,01-03-2026
Jupiter Money #,5.7,944.9,01-03-2026
Deutsche Bank Apps,5.08,875.42,01-03-2026
Money View #,3.82,244.73,01-03-2026
KreditBee #,3.68,179.15,01-03-2026
Others,3.55,334.75,01-03-2026
Jammu and Kashmir Bank Apps,3.08,489.39,01-03-2026
Kiwi #,2.79,500.02,01-03-2026
Suryoday Bank Apps,2.78,13.52,01-03-2026
Flipkart UPI #,2.69,124.89,01-03-2026
Bharat Pe #,2.62,247.83,01-03-2026
Omni Card,1.94,101.77,01-03-2026
Fi Money #,1.92,330.74,01-03-2026
Indian Bank Apps,1.69,511.01,01-03-2026
Aditya Birla Capital Digital #,1.66,28.46,01-03-2026
Bank of Baroda Apps,1.65,510.66,01-03-2026
Punjab National Bank Apps,1.61,442.44,01-03-2026
HSBC Bank Apps,1.55,186.24,01-03-2026
Digikhata,1.49,539.13,01-03-2026
Timepay #,1.34,25.98,01-03-2026
IndusInd Bank Apps,1.21,208.26,01-03-2026
Freo #,1.21,113.58,01-03-2026
Union Bank Apps,1,302.43,01-03-2026
AU Small Finance Bank Apps,0.97,316.74,01-03-2026
South Indian Bank Apps,0.91,303.5,01-03-2026
Jar #,0.82,24.98,01-03-2026
Kredit Pe #,0.76,65.4,01-03-2026
Fino Payments Bank Apps,0.71,65.29,01-03-2026
UCO Bank Apps,0.63,179.36,01-03-2026
One Card #,0.61,764.55,01-03-2026
Salary Se #,0.6,53.47,01-03-2026
DBS Digibank Apps,0.58,220.76,01-03-2026
Shri Ram One #,0.55,73.76,01-03-2026
Rapipay,0.54,33.28,01-03-2026
Standard Chartered Bank Apps,0.51,141.43,01-03-2026
Central Bank of India Apps,0.5,186.01,01-03-2026
Spice Money,0.45,39.06,01-03-2026
Saathi by PayNearBy #,0.33,38.42,01-03-2026
Bank of India Apps,0.33,118.47,01-03-2026
Tata Pay #,0.31,90.6,01-03-2026
NSDL Payments Bank Apps,0.27,210.13,01-03-2026
IDBI Bank Apps,0.23,114.74,01-03-2026
Karnataka Bank Apps,0.22,60.16,01-03-2026
Obopay,0.22,35.03,01-03-2026
Dhani,0.19,8.95,01-03-2026
True Balance,0.18,6.33,01-03-2026
Karur Vysya Bank Apps,0.14,51.74,01-03-2026
TwidPay #,0.14,14.32,01-03-2026
Payworld,0.11,10.23,01-03-2026
Tamilnad Mercantile Bank Apps,0.11,45.11,01-03-2026
City Union Bank Apps,0.11,33.64,01-03-2026
ESAF Small Finance Bank Apps,0.1,11.52,01-03-2026
Indian Overseas Bank Apps,0.1,33.63,01-03-2026
Cheq,0.08,7.18,01-03-2026
Bank of Maharashtra Apps,0.08,30.38,01-03-2026
Equitas Small Finance Bank Apps,0.07,19.58,01-03-2026
Curie Money #,0.06,3.89,01-03-2026
Fave,0.06,10.78,01-03-2026
Unity Small Finance Bank Apps,0.06,15.04,01-03-2026
Ultracash #,0.05,3.97,01-03-2026
LXME #,0.05,4.01,01-03-2026
ZET #,0.03,2.53,01-03-2026
Punjab Sind Bank Apps,0.03,13.83,01-03-2026
PhonePe,6831.92,1033588.8,01-05-2024
Google Pay,5219.56,723315.7,01-05-2024
Paytm (OCL),1140.01,124704.8,01-05-2024
Cred,140.08,47547.15,01-05-2024
Amazon Pay,68.34,7419.41,01-05-2024
Axis Bank Apps,64.08,5910.2,01-05-2024
ICICI Bank Apps,52.1,28444.03,01-05-2024
FamApp by Trio,50.1,630.89,01-05-2024
Kotak Mahindra Bank Apps,43.41,6178.23,01-05-2024
WhatsApp,36.45,2938.72,01-05-2024
HDFC Bank Apps,35.43,8104.44,01-05-2024
Navi,29.72,958.09,01-05-2024
BHIM,23.43,8095.99,01-05-2024
Yes Bank Apps,22.75,10971.64,01-05-2024
Airtel Payments Bank Apps,17.29,1330.15,01-05-2024
Mobikwik,11.12,2536.09,01-05-2024
Groww,10.15,7086.12,01-05-2024
Bajaj Finserv,9.55,1685.51,01-05-2024
Slice,9.05,646.12,01-05-2024
State Bank of India Apps,7.12,2494.2,01-05-2024
IDFC Bank Apps,6.99,1690.27,01-05-2024
Samsung Pay,6.56,547.28,01-05-2024
Jupiter,6.07,769.1,01-05-2024
Federal Bank Apps,5.95,811.83,01-05-2024
India Post Payments Bank Apps,5.67,703.81,01-05-2024
Flipkart,4.44,251.85,01-05-2024
Canara Bank Apps,3.06,828.58,01-05-2024
Deutsche Bank Apps,2.34,369.42,01-05-2024
RBL Bank Apps,2.24,931.34,01-05-2024
Jio Payments Bank Apps,2.02,170.98,01-05-2024
Punjab National Bank Apps,1.74,444.5,01-05-2024
Timepay,1.61,17.69,01-05-2024
Indian Bank Apps,1.55,329.58,01-05-2024
OmniCard,1.24,45.65,01-05-2024
Union Bank Apps,1.19,505.24,01-05-2024
Bank of Baroda Apps,1.02,463.85,01-05-2024
Central Bank of India Apps,0.95,213.29,01-05-2024
AU Small Finance Bank Apps,0.82,249.6,01-05-2024
DBS Digibank Apps,0.48,193.09,01-05-2024
South Indian Bank Apps,0.47,141.47,01-05-2024
Jammu and Kashmir Bank Apps,0.43,64.02,01-05-2024
Fino Payments bank Apps,0.38,53.86,01-05-2024
HSBC Bank Apps,0.37,144.11,01-05-2024
IndusInd Bank Apps,0.36,74.41,01-05-2024
Shriram One,0.29,36.28,01-05-2024
Bank of India Apps,0.21,81.09,01-05-2024
UCO Bank Apps,0.2,65.61,01-05-2024
Kiwi,0.18,36.03,01-05-2024
TataNeu,0.18,25.1,01-05-2024
Standard Chartered Bank Apps,0.16,114.42,01-05-2024
Digikhata,0.16,52.29,01-05-2024
Karnataka Bank Apps,0.16,30,01-05-2024
Indian Overseas Bank Apps,0.12,34.43,01-05-2024
Dhani,0.11,13.12,01-05-2024
Ultracash,0.09,6.19,01-05-2024
Tamilnad Mercantile Bank Apps,0.08,25.66,01-05-2024
Citi Bank Apps,0.08,66.74,01-05-2024
City Union Bank Apps,0.08,28.77,01-05-2024
NSDL Payments Bank Apps,0.07,12.71,01-05-2024
IDBI Bank Apps,0.07,27.32,01-05-2024
Aditya Birla Capital Digital,0.05,1.84,01-05-2024
Karur Vysya Bank Apps,0.05,20.63,01-05-2024
Bank of Maharashtra Apps,0.05,10.49,01-05-2024
Niyo Global,0.04,22.56,01-05-2024
MakeMyTrip,0.04,18.12,01-05-2024
Equitas Small Finance Bank Apps,0.04,25.35,01-05-2024
Punjab Sind Bank Apps,0.03,12.97,01-05-2024
Other Apps,1.29,148.93,01-05-2024
Phone Pe #,8682.08,1256541.09,01-05-2025
Google Pay #,6740.42,884735.12,01-05-2025
Paytm #,1277.56,138068.97,01-05-2025
Navi #,386.21,21350.35,01-05-2025
super.money #,203.42,7054.28,01-05-2025
Cred #,141.95,55242.72,01-05-2025
Axis Bank Apps,120.03,9683.82,01-05-2025
