application_name,volume_mn,value_cr,month
FamApp by Trio,110.38,1415.4,01-05-2025
Amazon Pay #,98.68,10343.44,01-05-2025
Whatsapp #,70.19,5280.89,01-05-2025
BHIM,64.6,11243.73,01-05-2025
HDFC Bank Apps,63.19,14806.6,01-05-2025
Kotak Mahindra Bank Apps,59.74,7862.6,01-05-2025
ICICI Bank Apps,59.47,16689.54,01-05-2025
Yes Bank Apps,53.52,9518.96,01-05-2025
Mobikwik #,33.92,4674.33,01-05-2025
Airtel Payments Bank Apps,20.14,1447.35,01-05-2025
Slice Small Finance Bank Apps,19.85,2330.22,01-05-2025
India Post Payments Bank Apps,16.51,1834.83,01-05-2025
IDFC Bank Apps,16.21,2493.29,01-05-2025
POP UPI,13.59,500.88,01-05-2025
State Bank of India Apps,13.48,3700.3,01-05-2025
RBL Bank Apps,13.27,1762.42,01-05-2025
Groww #,12.14,8443.05,01-05-2025
Bajaj Finserv,10.67,2219.95,01-05-2025
Samsung Pay,9.14,656.92,01-05-2025
Jupiter Money,6.4,950.85,01-05-2025
Federal Bank Apps,5.09,982.11,01-05-2025
Jio Payments Bank Apps,4.7,341.19,01-05-2025
Deutsche Bank Apps,4.02,723.88,01-05-2025
Timepay #,3.9,50.01,01-05-2025
Canara Bank Apps,3.85,992.9,01-05-2025
Punjab National Bank Apps,3.6,953.88,01-05-2025
Kiwi #,3.58,428.68,01-05-2025
Flipkart UPI #,3.23,187.83,01-05-2025
Standard Chartered Bank Apps,3.02,180.55,01-05-2025
Fi Money #,2.99,407.88,01-05-2025
Shri Ram One #,2.58,165.88,01-05-2025
Jammu and Kashmir Bank Apps,2.36,308.47,01-05-2025
IndusInd Bank Apps,1.99,258.89,01-05-2025
Bank of Baroda Apps,1.8,528.32,01-05-2025
Omni Card #,1.63,92.27,01-05-2025
Central Bank of India Apps,1.56,268.09,01-05-2025
Ind Money #,1.3,560.96,01-05-2025
Suryoday Bank Apps,1.25,218.46,01-05-2025
DBS Digibank Apps,1.06,226.65,01-05-2025
HSBC Bank Apps,1.03,124.36,01-05-2025
Digikhata,0.87,282.69,01-05-2025
Indian Bank Apps,0.8,202.18,01-05-2025
One Card #,0.8,954.81,01-05-2025
Bharat Pe #,0.74,58.21,01-05-2025
Union Bank Apps,0.73,241.85,01-05-2025
South Indian Bank Apps,0.71,211.09,01-05-2025
AU Small Finance Bank Apps,0.6,184.67,01-05-2025
ESAF Small Finance Bank Apps,0.57,63.39,01-05-2025
Fino Payments Bank Apps,0.54,56.9,01-05-2025
Aditya Birla Capital Digital #,0.49,26.92,01-05-2025
UCO Bank Apps,0.48,122.06,01-05-2025
Tata Neu #,0.45,132.55,01-05-2025
Salary Se #,0.43,20.47,01-05-2025
Money View #,0.32,31.91,01-05-2025
Kredit Pe #,0.32,35.29,01-05-2025
Bank of India Apps,0.3,91.04,01-05-2025
Indian Overseas Bank Apps,0.27,64.81,01-05-2025
Karnataka Bank Apps,0.25,59.72,01-05-2025
Spice Money,0.2,14.26,01-05-2025
Dhani,0.17,8.63,01-05-2025
NSDL Payments Bank Apps,0.17,16.25,01-05-2025
Rapipay,0.17,19.16,01-05-2025
IDBI Bank Apps,0.13,49.81,01-05-2025
Ultracash #,0.1,7.77,01-05-2025
True Balance,0.1,3.01,01-05-2025
Karur Vysya Bank Apps,0.1,35.02,01-05-2025
Tamilnad Mercantile Bank Apps,0.09,32.95,01-05-2025
Niyo Global #,0.07,25.75,01-05-2025
City Union Bank Apps,0.07,29.97,01-05-2025
Obopay,0.06,8.77,01-05-2025
Unity Small Finance Bank Apps,0.06,12.79,01-05-2025
Freo #,0.04,2.27,01-05-2025
Payworld,0.03,2.21,01-05-2025
Punjab Sind Bank Apps,0.02,8.87,01-05-2025
Bank of Maharashtra Apps,0.02,7.44,01-05-2025
Others,1.87,240.77,01-05-2025
Navi #,152.95,8806.45,01-11-2024
Cred #,138.24,50560.48,01-11-2024
Axis Bank Apps,130.36,6337.84,01-11-2024
super.money #,78.49,3130.1,01-11-2024
Amazon Pay #,71.6,7914.87,01-11-2024
FamApp by Trio #,67.41,777.46,01-11-2024
ICICI Bank Apps,53.71,21498.14,01-11-2024
Whatsapp #,51.76,3890.1,01-11-2024
Kotak Mahindra Bank Apps,47.35,6583.09,01-11-2024
HDFC Bank Apps,36.84,10417.27,01-11-2024
Yes Bank Apps,35.69,9215.09,01-11-2024
BHIM,27.05,8210.65,01-11-2024
Airtel Payments Bank Apps,18.6,1389.73,01-11-2024
Mobikwik #,16.63,2942.38,01-11-2024
Flipkart UPI #,13.25,636.91,01-11-2024
Groww #,13.22,8479.87,01-11-2024
Slice #,11.54,845.13,01-11-2024
State Bank of India Apps,10.46,3035.13,01-11-2024
India Post Payments Bank Apps,8.91,1131.95,01-11-2024
IDFC Bank Apps,8.6,1932.32,01-11-2024
Bajaj Finserv #,8.1,1584.15,01-11-2024
Samsung Pay #,7.9,578.99,01-11-2024
Jupiter Money #,6.02,825.36,01-11-2024
RBL Bank Apps,5.03,914.28,01-11-2024
POP UPI,4,267.15,01-11-2024
Federal Bank Apps,3.36,578.23,01-11-2024
Punjab National Bank Apps,3.31,753.1,01-11-2024
Jio Payments Bank Apps,3.18,263.81,01-11-2024
Fi Money #,3.07,373.29,01-11-2024
Canara Bank Apps,3.01,802.16,01-11-2024
Deutsche Bank Apps,2.68,401.03,01-11-2024
Indian Bank Apps,2.19,410.19,01-11-2024
Timepay #,1.72,19.88,01-11-2024
Omni Card,1.35,100.86,01-11-2024
Central Bank of India Apps,1.06,197.17,01-11-2024
Bank of Baroda Apps,1.01,389.1,01-11-2024
Jammu and Kashmir Bank Apps,0.79,135.44,01-11-2024
Union Bank Apps,0.73,238.56,01-11-2024
Kiwi #,0.69,106.42,01-11-2024
HSBC Bank Apps,0.68,176.45,01-11-2024
Aditya Birla Capital Digital,0.66,30.09,01-11-2024
South Indian Bank Apps,0.59,167.92,01-11-2024
DBS Digibank Apps,0.57,191.73,01-11-2024
Fino Payments Bank Apps,0.51,64.81,01-11-2024
Digikhata,0.46,156.43,01-11-2024
AU Small Finance Bank Apps,0.45,134.47,01-11-2024
Shri Ram One #,0.38,39.72,01-11-2024
IndusInd Bank Apps,0.36,92.32,01-11-2024
One Card #,0.36,356.22,01-11-2024
Tata Neu #,0.3,78.83,01-11-2024
True Balance,0.29,33.18,01-11-2024
UCO Bank Apps,0.28,66.32,01-11-2024
Bank of India Apps,0.2,55.8,01-11-2024
Standard Chartered Bank Apps,0.18,114.58,01-11-2024
Indian Overseas Bank Apps,0.18,49.21,01-11-2024
Karnataka Bank Apps,0.18,38.31,01-11-2024
Dhani,0.13,13.25,01-11-2024
ESAF Small Finance Bank Apps,0.12,14.69,01-11-2024
Niyo Global #,0.09,52.41,01-11-2024
Rapipay,0.09,11.7,01-11-2024
Suryoday Bank Apps,0.08,0.23,01-11-2024
IDBI Bank Apps,0.08,30.01,01-11-2024
Ultracash #,0.08,5.71,01-11-2024
NSDL Payments Bank Apps,0.08,9.73,01-11-2024
City Union Bank Apps,0.07,26.24,01-11-2024
Bharat Pe #,0.07,8.29,01-11-2024
Tamilnad Mercantile Bank Apps,0.07,23.33,01-11-2024
Salary Se #,0.07,3.75,01-11-2024
Genwise #,0.06,22.84,01-11-2024
Karur Vysya Bank Apps,0.05,17.82,01-11-2024
Equitas Small Finance Bank Apps,0.03,25.69,01-11-2024
Freo #,0.03,1.8,01-11-2024
Cheq,0.03,1.84,01-11-2024
Money View #,0.02,2.77,01-11-2024
Punjab Sind Bank Apps,0.02,10.76,01-11-2024
Spice Money,0.02,2.73,01-11-2024
Kredit.Pe #,0.02,2.67,01-11-2024
Others,1.65,225.18,01-11-2024
POP UPI,14.58,834.96,01-11-2025
Samsung Pay #,11.21,716.66,01-11-2025
Jupiter Money #,6.04,935.1,01-11-2025
Jio Payments Bank Apps,5.92,418.34,01-11-2025
Deutsche Bank Apps,4.39,760.75,01-11-2025
NSDL Payments Bank Apps,3.48,319.56,01-11-2025
Kiwi #,3.08,404.62,01-11-2025
Ind Money #,3.02,994.89,01-11-2025
Bank of Baroda Apps,2.74,653.52,01-11-2025
Flipkart UPI #,2.66,146.29,01-11-2025
Fi Money #,2.58,375.77,01-11-2025
Jammu and Kashmir Bank Apps,2.42,378.25,01-11-2025
Bharat Pe #,2.28,177.52,01-11-2025
Timepay #,2,39.98,01-11-2025
Omni Card,1.9,129.21,01-11-2025
Suryoday Bank Apps,1.89,3.55,01-11-2025
Indian Bank Apps,1.52,422.65,01-11-2025
Money View #,1.41,98.11,01-11-2025
IndusInd Bank Apps,1.39,212.28,01-11-2025
Shri Ram One #,1.39,108.4,01-11-2025
HSBC Bank Apps,1.26,158.12,01-11-2025
ESAF Small Finance Bank Apps,1.19,127.39,01-11-2025
Digikhata,1.16,412.73,01-11-2025
Aditya Birla Capital Digital #,1.11,24.14,01-11-2025
KreditBee #,1.06,37.32,01-11-2025
Fino Payments Bank Apps,0.96,83.45,01-11-2025
Union Bank Apps,0.88,250.09,01-11-2025
South Indian Bank Apps,0.84,243.72,01-11-2025
AU Small Finance Bank Apps,0.73,241.68,01-11-2025
One Card #,0.63,793.04,01-11-2025
Kredit Pe #,0.6,53.81,01-11-2025
DBS Digibank Apps,0.58,203.03,01-11-2025
UCO Bank Apps,0.58,154.26,01-11-2025
Salary Se #,0.48,23.87,01-11-2025
Central Bank of India Apps,0.42,126.34,01-11-2025
Tata Pay #,0.42,148.43,01-11-2025
Standard Chartered Bank Apps,0.36,116.53,01-11-2025
Bank of India Apps,0.34,108.52,01-11-2025
Jar #,0.33,8.42,01-11-2025
Spice Money,0.32,30.58,01-11-2025
Rapipay,0.3,29.39,01-11-2025
Karnataka Bank Apps,0.27,63.02,01-11-2025
Dhani,0.21,9.42,01-11-2025
Indian Overseas Bank Apps,0.2,53.88,01-11-2025
True Balance,0.18,6.09,01-11-2025
Oxymoney,0.16,10.58,01-11-2025
IDBI Bank Apps,0.16,71.99,01-11-2025
Obopay,0.15,23.14,01-11-2025
Karur Vysya Bank Apps,0.12,43.7,01-11-2025
TwidPay #,0.11,12.18,01-11-2025
Tamilnad Mercantile Bank Apps,0.1,34.64,01-11-2025
Payworld,0.08,7.81,01-11-2025
Ultracash #,0.08,6.31,01-11-2025
Unity Small Finance Bank Apps,0.08,24.79,01-11-2025
City Union Bank Apps,0.07,29.85,01-11-2025
Bank of Maharashtra Apps,0.04,10.94,01-11-2025
Curie Money #,0.04,3.25,01-11-2025
Punjab Sind Bank Apps,0.03,11.81,01-11-2025
Equitas Small Finance Bank Apps,0.03,10.2,01-11-2025
Freo #,0.03,1.84,01-11-2025
Cheq,0.02,2.44,01-11-2025
LXME #,0.02,1.65,01-11-2025
Others,2.54,244.75,01-11-2025
PhonePe #,7905.54,1169290.03,01-10-2024
Google Pay #,6201.81,849327.38,01-10-2024
Paytm (OCL) #,1165.01,129584.98,01-10-2024
Navi #,157.51,8841.9,01-10-2024
Cred #,152.28,55202.12,01-10-2024
Axis Bank Apps,139.68,6829.53,01-10-2024
Amazon Pay #,79.55,9205.72,01-10-2024
FamApp by Trio #,69.9,825.19,01-10-2024
ICICI Bank Apps,57.54,23686.95,01-10-2024
Whatsapp #,55.07,4137.17,01-10-2024
Kotak Mahindra Bank Apps,51.92,7565.22,01-10-2024
super.money #,49.68,2167.86,01-10-2024
HDFC Bank Apps,39.41,10427.97,01-10-2024
Yes Bank Apps,36.79,10245.47,01-10-2024
BHIM,29.9,10170.6,01-10-2024
Airtel Payments Bank Apps,20.03,1504.36,01-10-2024
Mobikwik #,17.2,2995.42,01-10-2024
Groww #,15.35,11862.09,01-10-2024
Flipkart UPI #,14.62,825.95,01-10-2024
Slice #,12.19,907.37,01-10-2024
State Bank of India Apps,11.73,3527.88,01-10-2024
Bajaj Finserv #,10.66,2330.26,01-10-2024
India Post Payments Bank Apps,10.11,1507.56,01-10-2024
IDFC Bank Apps,9.33,2162.85,01-10-2024
Samsung Pay #,8.56,664.7,01-10-2024
Jupiter Money #,6.36,873.89,01-10-2024
Fi Money #,3.44,421.4,01-10-2024
Punjab National Bank Apps,3.31,785.24,01-10-2024
Canara Bank Apps,3.27,898.89,01-10-2024
Jio Payments Bank Apps,3.23,269.69,01-10-2024
Indian Bank Apps,3.11,513.43,01-10-2024
Federal Bank Apps,2.96,542.57,01-10-2024
POP UPI,2.93,209.84,01-10-2024
RBL Bank Apps,2.88,723.15,01-10-2024
Deutsche Bank Apps,2.58,395.32,01-10-2024
Timepay #,2.15,18.6,01-10-2024
Omni Card,1.49,96.52,01-10-2024
Bank of Baroda Apps,1.16,499.63,01-10-2024
Central Bank of India Apps,1.11,219.02,01-10-2024
Aditya Birla Capital Digital,0.97,37.97,01-10-2024
Jammu and Kashmir Bank Apps,0.83,144,01-10-2024
Union Bank Apps,0.8,282.02,01-10-2024
HSBC Bank Apps,0.68,179.35,01-10-2024
South Indian Bank Apps,0.61,179.8,01-10-2024
DBS Digibank Apps,0.61,214.82,01-10-2024
Fino Payments Bank Apps,0.58,70.11,01-10-2024
AU Small Finance Bank Apps,0.49,146.98,01-10-2024
Shri Ram One #,0.47,47.25,01-10-2024
Digikhata,0.46,166.18,01-10-2024
Kiwi #,0.41,66.74,01-10-2024
IndusInd Bank Apps,0.36,93.29,01-10-2024
UCO Bank Apps,0.31,77.02,01-10-2024
Tata Neu #,0.31,74.8,01-10-2024
One Card #,0.29,261.08,01-10-2024
Suryoday Bank Apps,0.26,0.05,01-10-2024
Bank of India Apps,0.2,45.85,01-10-2024
Indian Overseas Bank Apps,0.2,56.07,01-10-2024
Standard Chartered Bank Apps,0.2,131.83,01-10-2024
Karnataka Bank Apps,0.16,34.88,01-10-2024
Dhani,0.13,14.62,01-10-2024
True Balance,0.13,16.51,01-10-2024
Niyo Global #,0.1,55.57,01-10-2024
NSDL Payments Bank Apps,0.09,12.1,01-10-2024
Ultracash #,0.09,5.94,01-10-2024
Rapipay,0.08,11.38,01-10-2024
City Union Bank Apps,0.08,29.97,01-10-2024
IDBI Bank Apps,0.08,29.72,01-10-2024
Tamilnad Mercantile Bank Apps,0.07,24.55,01-10-2024
Salary Se #,0.07,3.95,01-10-2024
ESAF Small Finance Bank Apps,0.06,8.57,01-10-2024
Bharat Pe #,0.05,7.27,01-10-2024
Freo #,0.05,2.7,01-10-2024
Karur Vysya Bank Apps,0.05,18.4,01-10-2024
Equitas Small Finance Bank Apps,0.04,29.7,01-10-2024
Punjab Sind Bank Apps,0.03,16.46,01-10-2024
Cheq,0.02,1.62,01-10-2024
Others,1.76,224.84,01-10-2024
Samsung Pay #,10.47,758.79,01-10-2025
Jupiter Money #,6.06,991.43,01-10-2025
Jio Payments Bank Apps,5.68,417.41,01-10-2025
NSDL Payments Bank Apps,3.47,368.39,01-10-2025
Flipkart UPI #,3.31,208.86,01-10-2025
Kiwi #,2.92,403.52,01-10-2025
Bank of Baroda Apps,2.77,723.28,01-10-2025
Fi Money #,2.7,405.88,01-10-2025
Jammu and Kashmir Bank Apps,2.66,419.17,01-10-2025
Suryoday Bank Apps,2.3,14.34,01-10-2025
Timepay #,1.94,38.42,01-10-2025
Omni Card,1.92,128.78,01-10-2025
Bharat Pe #,1.77,137.63,01-10-2025
IndusInd Bank Apps,1.58,224.25,01-10-2025
HSBC Bank Apps,1.5,170.25,01-10-2025
Indian Bank Apps,1.49,448.46,01-10-2025
Shri Ram One #,1.43,121.39,01-10-2025
Money View #,1.38,105.13,01-10-2025
Digikhata,1.14,409.7,01-10-2025
ESAF Small Finance Bank Apps,0.97,98.21,01-10-2025
Fino Payments Bank Apps,0.91,82.72,01-10-2025
South Indian Bank Apps,0.87,259.65,01-10-2025
One Card #,0.73,904.13,01-10-2025
Union Bank Apps,0.73,225.05,01-10-2025
AU Small Finance Bank Apps,0.71,246.67,01-10-2025
Kredit Pe #,0.63,56.41,01-10-2025
DBS Digibank Apps,0.61,217.83,01-10-2025
UCO Bank Apps,0.59,161.03,01-10-2025
Tata Pay #,0.5,167.09,01-10-2025
KreditBee #,0.5,13.9,01-10-2025
Salary Se #,0.48,24.33,01-10-2025
Jar #,0.46,10.67,01-10-2025
Aditya Birla Capital Digital #,0.42,21.45,01-10-2025
Central Bank of India Apps,0.4,115.39,01-10-2025
Bank of India Apps,0.33,107.21,01-10-2025
Spice Money,0.33,31.47,01-10-2025
Standard Chartered Bank Apps,0.29,120.33,01-10-2025
Rapipay,0.26,27.54,01-10-2025
Karnataka Bank Apps,0.26,62.55,01-10-2025
Dhani,0.24,10.84,01-10-2025
Indian Overseas Bank Apps,0.21,59.47,01-10-2025
IDBI Bank Apps,0.17,75.41,01-10-2025
True Balance,0.15,5.04,01-10-2025
Obopay,0.14,21.43,01-10-2025
Karur Vysya Bank Apps,0.12,44.87,01-10-2025
TwidPay #,0.1,10.9,01-10-2025
Tamilnad Mercantile Bank Apps,0.1,35.99,01-10-2025
Ultracash #,0.09,6.99,01-10-2025
Unity Small Finance Bank Apps,0.08,25.74,01-10-2025
City Union Bank Apps,0.08,32.76,01-10-2025
Payworld,0.07,5.97,01-10-2025
Punjab Sind Bank Apps,0.04,14.19,01-10-2025
Freo #,0.03,2.1,01-10-2025
Bank of Maharashtra Apps,0.03,9.46,01-10-2025
Equitas Small Finance Bank Apps,0.02,7.76,01-10-2025
Utkarsh Small Finance Bank Apps,0.02,5.64,01-10-2025
Others,2.44,234.4,01-10-2025
PhonePe #,7221.22,1030871,01-09-2024
Google Pay #,5625.22,746690.05,01-09-2024
Paytm (OCL) #,1064.62,113351.54,01-09-2024
Cred #,140,47982.71,01-09-2024
Navi #,120.41,6549.1,01-09-2024
Axis Bank Apps,120.38,5986.48,01-09-2024
Amazon Pay #,70.98,7845.04,01-09-2024
Fam App by Trio #,61.05,714.29,01-09-2024
ICICI Bank Apps,53.59,21076.12,01-09-2024
WhatsApp #,48.75,3586.71,01-09-2024
Kotak Mahindra Bank Apps,47.14,6413.16,01-09-2024
HDFC Bank Apps,36.14,8997.11,01-09-2024
Yes Bank Apps,31.27,9777.48,01-09-2024
BHIM,26.39,8466.3,01-09-2024
super.money #,25.75,1131.59,01-09-2024
Airtel Payments Bank Apps,17.41,1278.38,01-09-2024
Mobikwik #,16.07,2964.08,01-09-2024
Groww #,13.46,9526.49,01-09-2024
Flipkart UPI #,12.85,734.8,01-09-2024
Bajaj Finserv #,11.15,2711.55,01-09-2024
slice #,10.62,792.06,01-09-2024
State Bank of India Apps,9.8,2883.42,01-09-2024
IDFC Bank Apps,8.33,1838.99,01-09-2024
Samsung Pay #,7.33,564.5,01-09-2024
India Post Payments Bank Apps,6.96,908.78,01-09-2024
Federal Bank Apps,6.3,918.67,01-09-2024
Jupiter Money #,6.13,810.01,01-09-2024
Deutsche Bank Apps,3.05,348.9,01-09-2024
Canara Bank Apps,3.04,799.52,01-09-2024
Jio Payments Bank Apps,2.79,212.23,01-09-2024
Punjab National Bank Apps,2.74,606.83,01-09-2024
Indian Bank Apps,2.69,424.89,01-09-2024
Pop Club #,1.81,131.2,01-09-2024
Timepay #,1.74,15.26,01-09-2024
RBL Bank Apps,1.66,603.44,01-09-2024
OmniCard,1.31,74.96,01-09-2024
Bank of Baroda Apps,1.12,452.89,01-09-2024
Central Bank of India Apps,0.97,189.93,01-09-2024
Jammu and Kashmir Bank Apps,0.77,118.94,01-09-2024
Aditya Birla Capital Digital,0.72,32.26,01-09-2024
Union Bank Apps,0.62,212.37,01-09-2024
South Indian Bank Apps,0.6,169.06,01-09-2024
DBS Digibank Apps,0.52,200.42,01-09-2024
HSBC Bank Apps,0.51,153.54,01-09-2024
Fino Payments bank Apps,0.49,57.89,01-09-2024
AU Small Finance Bank Apps,0.46,136.87,01-09-2024
Digikhata,0.38,122.41,01-09-2024
IndusInd Bank Apps,0.36,90.58,01-09-2024
Shri Ram One #,0.35,42.33,01-09-2024
Kiwi #,0.29,44.31,01-09-2024
Suryoday Bank Apps,0.29,0.03,01-09-2024
UCO Bank Apps,0.26,59.89,01-09-2024
TataNeu #,0.21,40.5,01-09-2024
Indian Overseas Bank Apps,0.17,48.02,01-09-2024
Standard Chartered Bank Apps,0.17,108.86,01-09-2024
Karnataka Bank Apps,0.15,31.93,01-09-2024
Bank of India Apps,0.15,35.33,01-09-2024
Dhani,0.13,15.76,01-09-2024
Ultracash #,0.12,8.71,01-09-2024
Niyo Global #,0.09,49.74,01-09-2024
IDBI Bank Apps,0.09,34.69,01-09-2024
NSDL Payments Bank Apps,0.08,10.6,01-09-2024
City Union Bank Apps,0.07,27.34,01-09-2024
Tamilnad Mercantile Bank Apps,0.07,22.04,01-09-2024
Rapi Pay,0.06,9.55,01-09-2024
Bharat Pe,0.06,6.03,01-09-2024
True Balance,0.05,6.37,01-09-2024
One Card #,0.05,27.93,01-09-2024
Karur Vysya Bank Apps,0.05,16.83,01-09-2024
Salary Se #,0.04,1.78,01-09-2024
Freo Money #,0.04,1.91,01-09-2024
Punjab Sind Bank Apps,0.03,16.39,01-09-2024
Equitas Small Finance Bank Apps,0.03,24.45,01-09-2024
Citi Bank Apps,0.03,1.93,01-09-2024
Allahabad Bank Apps,0.02,5.54,01-09-2024
Others,1.86,208.36,01-09-2024
Samsung Pay #,9.9,676.36,01-09-2025
Jupiter Money #,6.06,958.38,01-09-2025
Jio Payments Bank Apps,5,344.89,01-09-2025
Deutsche Bank Apps,4.63,765.38,01-09-2025
Punjab National Bank Apps,3.88,983.32,01-09-2025
Flipkart UPI #,3.58,263.48,01-09-2025
Timepay #,2.98,41.89,01-09-2025
Fi Money #,2.66,382.26,01-09-2025
Ind Money #,2.61,870.13,01-09-2025
Bank of Baroda Apps,2.59,611.74,01-09-2025
Kiwi #,2.5,306.62,01-09-2025
Jammu and Kashmir Bank Apps,2.38,348.51,01-09-2025
NSDL Payments Bank Apps,2.05,216.31,01-09-2025
Omni Card,1.86,118.22,01-09-2025
Shri Ram One,1.81,136.08,01-09-2025
Suryoday Bank Apps,1.68,13.47,01-09-2025
IndusInd Bank Apps,1.67,222.41,01-09-2025
Indian Bank Apps,1.38,316.14,01-09-2025
HSBC Bank Apps,1.22,145.89,01-09-2025
Money View #,1.09,87.15,01-09-2025
Digikhata,1.05,352.31,01-09-2025
South Indian Bank Apps,0.86,248.26,01-09-2025
Fino Payments Bank Apps,0.78,69.88,01-09-2025
Union Bank Apps,0.73,232.38,01-09-2025
DBS Digibank Apps,0.73,250.9,01-09-2025
One Card,0.71,827.92,01-09-2025
AU Small Finance Bank Apps,0.69,221.41,01-09-2025
ESAF Small Finance Bank Apps,0.67,65.43,01-09-2025
Kredit Pe #,0.67,54.86,01-09-2025
Aditya Birla Capital Digital,0.56,25.14,01-09-2025
Central Bank of India Apps,0.55,137.29,01-09-2025
UCO Bank Apps,0.54,140.39,01-09-2025
Tata Pay #,0.5,159.6,01-09-2025
Salary Se #,0.49,22.88,01-09-2025
Bank of India Apps,0.32,101.51,01-09-2025
Spice Money,0.3,28.07,01-09-2025
Karnataka Bank Apps,0.27,62.58,01-09-2025
Standard Chartered Bank Apps,0.25,113.63,01-09-2025
Indian Overseas Bank Apps,0.24,62.77,01-09-2025
Rapipay,0.23,24.83,01-09-2025
Dhani,0.23,10.7,01-09-2025
IDBI Bank Apps,0.17,69.18,01-09-2025
Jar #,0.14,3.13,01-09-2025
True Balance,0.13,4.49,01-09-2025
Obopay,0.13,19.72,01-09-2025
Karur Vysya Bank Apps,0.11,40.62,01-09-2025
Tamilnad Mercantile Bank Apps,0.1,36.17,01-09-2025
Ultracash #,0.09,6.96,01-09-2025
City Union Bank Apps,0.08,31.81,01-09-2025
Unity Small Finance Bank Apps,0.07,21.92,01-09-2025
Niyo Global #,0.05,13.16,01-09-2025
KreditBee #,0.05,2.18,01-09-2025
Payworld,0.05,4.05,01-09-2025
Utkarsh Small Finance Bank Apps,0.03,5.49,01-09-2025
Freo #,0.03,1.96,01-09-2025
Punjab Sind Bank Apps,0.02,7.21,01-09-2025
Equitas Small Finance Bank Apps,0.02,7.23,01-09-2025
Others,2.32,227.21,01-09-2025
